percentage_of_viral_covered_log_retweets_over_followers,nb_of_tweets_labeled_as_viral_log_retweets_over_followers,thresholds_log_retweets_over_followers
1.0,319615,2.0823825573913686e-05
0.9890873015873016,273938,4.051692731176368e-05
0.9791666666666666,255601,4.912336231094642e-05
0.9692460317460317,232131,6.06772297454726e-05
0.9593253968253969,215154,6.953399127171892e-05
0.9494047619047619,198735,7.906615255441045e-05
0.939484126984127,177935,9.274401243552317e-05
0.9295634920634921,163454,0.00010376301156781099
0.9196428571428571,153038,0.00011162448201235416
0.9097222222222222,142348,0.00012118386659212715
0.8998015873015873,133957,0.00012903905621694119
0.8898809523809523,127440,0.0001359807274111013
0.8799603174603174,119119,0.00014553053532917479
0.8700396825396826,113262,0.00015434076599951405
0.8601190476190477,109675,0.0001597665218121121
0.8492063492063492,107026,0.0001638177776107626
0.8392857142857143,102033,0.00017177097081931192
0.8293650793650794,97923,0.0001784615254643663
0.8194444444444444,94063,0.00018575504552597574
0.8095238095238095,90777,0.00019285167032283564
0.7996031746031746,87559,0.00019934327697333082
0.7896825396825397,84808,0.0002054679665547375
0.7797619047619048,78571,0.00021844458141730431
0.7698412698412699,75718,0.000226263674225816
0.7599206349206349,72948,0.00023435184719918162
0.75,70894,0.00024075728743866513
0.7400793650793651,67584,0.0002501977740079047
0.7301587301587301,62958,0.00026505673893843605
0.7202380952380952,58502,0.0002800657421942939
0.7093253968253969,56801,0.0002862937577127316
0.6994047619047619,55365,0.00029176513580133967
0.689484126984127,53140,0.00030080706952046094
0.6795634920634921,49826,0.00031641255088538567
0.6696428571428571,47808,0.00032637026326093506
0.6597222222222222,44674,0.0003421251688588788
0.6498015873015873,42986,0.00035116572142065137
0.6398809523809523,42099,0.00035691935841298465
0.6299603174603174,41027,0.00036494634545917705
0.6200396825396826,39620,0.00037486982308993465
0.6101190476190477,37806,0.0003870781771608389
0.6001984126984127,36276,0.00039804193717933356
0.5902777777777778,34629,0.00041120044887010685
0.5803571428571429,32866,0.00042635419690807295
0.5694444444444444,31354,0.00043719376387239573
0.5595238095238095,29882,0.0004524594289673326
0.5496031746031746,28535,0.00046812040833873927
0.5396825396825397,26667,0.00048767647518345024
0.5297619047619048,26013,0.0004976799255063901
0.5198412698412699,25296,0.0005061834084447068
0.5099206349206349,24228,0.0005212916903156303
0.5,23032,0.0005395738872296509
0.49007936507936506,21566,0.0005647021922270769
0.4801587301587302,20284,0.0005895765740513234
0.47023809523809523,19552,0.0006047211659253739
0.4603174603174603,18354,0.0006301131324195934
0.4503968253968254,17340,0.000652506927330073
0.44047619047619047,16628,0.0006743321938094685
0.4305555555555556,15822,0.000696980606374073
0.41964285714285715,15421,0.0007106285418656998
0.4097222222222222,14806,0.0007321509024842147
0.3998015873015873,13622,0.0007683790460187478
0.3898809523809524,12745,0.0008026821281700681
0.37996031746031744,11952,0.000838786912177239
0.37003968253968256,11298,0.0008656145917666774
0.3601190476190476,10941,0.0008840972038673189
0.3501984126984127,10089,0.0009323687651642673
0.3402777777777778,9730,0.0009582618477334784
0.33035714285714285,8697,0.001031829515028949
0.32043650793650796,8209,0.0010706819674658472
0.310515873015873,7611,0.001133266050563012
0.3005952380952381,6991,0.001199729393075923
0.2906746031746032,6705,0.0012345399503041437
0.27976190476190477,6015,0.0013358734220584026
0.2698412698412698,5224,0.0014599380842198974
0.25992063492063494,4872,0.0015278241082717179
0.25,4524,0.001633968898128735
0.2400793650793651,4018,0.00176387022399823
0.23015873015873015,3623,0.001904940963842261
0.22023809523809523,3242,0.0020431615576899315
0.21031746031746032,2985,0.0021472681131348547
0.2003968253968254,2658,0.0022891258443659395
0.19047619047619047,2303,0.002497439020684527
0.18055555555555555,2070,0.0026847167747472557
0.17063492063492064,1624,0.0030947814200735606
0.16071428571428573,1401,0.0033397443279497524
0.15079365079365079,1139,0.0036561499334258323
0.13988095238095238,939,0.004087702547298808
0.12996031746031747,822,0.004439768080440451
0.12003968253968254,670,0.0050640430518192414
0.11011904761904762,548,0.005569573349817609
0.1001984126984127,520,0.005863037495295288
0.09027777777777778,451,0.006424002096785331
0.08035714285714286,350,0.007426007042593891
0.07043650793650794,274,0.0082195927599472
0.060515873015873016,181,0.010618942533330624
0.050595238095238096,128,0.01316034253303508
0.040674603174603176,87,0.01728591025833494
0.030753968253968252,58,0.021158446941601766
0.020833333333333332,31,0.030542020193855542
0.010912698412698412,14,0.04581366291335541
0.000992063492063492,1,0.11101775162012853
